CompanyName, CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,URI
BUMBLE & BUNNY LIMITED,11036871,HA3 0BU,Private Limited Company,Active,United Kingdom,,30/10/2017,"47990 - Other retail sale not in stores, stalls or markets",http://business.data.gov.uk/id/company/11036871
BUNNY & BUCK LIMITED,13033898,TN27 0JS,Private Limited Company,Active,United Kingdom,,20/11/2020,96090 - Other service activities n.e.c.,http://business.data.gov.uk/id/company/13033898
BUNNY & CARROT LTD,13330633,DE22 3UN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,13/04/2021,01490 - Raising of other animals,http://business.data.gov.uk/id/company/13330633
BUNNY & GOOSE LTD,13221157,EN9 1DU,Private Limited Company,Active,United Kingdom,,24/02/2021,47910 - Retail sale via mail order houses or via Internet,http://business.data.gov.uk/id/company/13221157
BUNNY & MOLE LTD,10306889,TW1 3DJ,Private Limited Company,Active,United Kingdom,,02/08/2016,55209 - Other holiday and other collective accommodation,http://business.data.gov.uk/id/company/10306889
BUNNY & PUPPY BRANDING LTD,13122166,EC1V 2NX,Private Limited Company,Active,United Kingdom,,08/01/2021,64209 - Activities of other holding companies n.e.c.,http://business.data.gov.uk/id/company/13122166
BUNNY AND BEAR BABY BOUTIQUE LLP,OC436417,CW8 2QF,Limited Liability Partnership,Active,United Kingdom,,28/03/2021,None Supplied,http://business.data.gov.uk/id/company/OC436417
BUNNY AND BEAR BABY CO LTD,13127269,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,12/01/2021,47910 - Retail sale via mail order houses or via Internet,http://business.data.gov.uk/id/company/13127269
BUNNY AND BEAR DESIGNS LTD,12894099,OX3 8JT,Private Limited Company,Active,United Kingdom,,21/09/2020,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",http://business.data.gov.uk/id/company/12894099
BUNNY AND BEARS LTD,12600843,OX17 2LG,Private Limited Company,Active,United Kingdom,,13/05/2020,47910 - Retail sale via mail order houses or via Internet,http://business.data.gov.uk/id/company/12600843
BUNNY AND BELLE LIMITED,8633776,TN33 0QL,Private Limited Company,Active,United Kingdom,,01/08/2013,47710 - Retail sale of clothing in specialised stores,http://business.data.gov.uk/id/company/08633776
BUNNY AND BLANKET LIMITED,12713705,DY1 4RH,Private Limited Company,Active,United Kingdom,,02/07/2020,68100 - Buying and selling of own real estate,http://business.data.gov.uk/id/company/12713705
BUNNY AND MOO LTD,12847872,notapostcode,Private Limited Company,Active,United Kingdom,,31/08/2020,18129 - Printing n.e.c.,http://business.data.gov.uk/id/company/12847872
